bnumber,genes
b1007,rutF
b1007,ycdH
b1008,rutE
b1008,ycdI
b1009,rutD
b1009,ycdJ
b1010,rutC
b1010,ycdK
b1011,rutB
b1011,ycdL
b1012,rutA
b1012,ycdM
b1013,rutR
b1013,ycdC
b1014,putA
b1014,poaA
b1015,putP
b1018,efeO
b1018,ycdO
b1019,efeB
b1019,ycdB
b1020,phoH
b1020,psiH
b1021,pgaD
b1021,ycdP
b1022,pgaC
b1022,ycdQ
b1023,pgaB
b1023,ycdR
b1024,pgaA
b1024,ycdS
b1025,ycdT
b1026,insF4
b1027,insE4
b1028,ymdE
b1029,ycdU
b1033,ghrA
b1033,ycdW
b1034,ycdX
b1035,ycdY
b1036,ycdZ
b1037,csgG
b1038,csgF
b1039,csgE
b1040,csgD
b1041,csgB
b1042,csgA
b1043,csgC
b1044,ymdA
b1045,ymdB
b1046,clsC
b1046,ymdC
b1047,mdoC
b1047,opgC
b1047,ymdD
b1048,mdoG
b1048,opgG
b1049,mdoH
b1049,opgH
b1050,yceK
b1051,msyB
b1053,mdtG
b1053,yceE
b1054,lpxL
b1054,htrB
b1054,waaM
b1055,yceA
b1056,yceI
b1057,yceJ
b1058,yceO
b1059,solA
b1060,bssS
b1060,yceP
b1061,dinI
b1062,pyrC
b1063,yceB
b1064,grxB
b1065,mdtH
b1065,yceL
b1066,rimJ
b1067,yceH
b1068,yceM
b1068,mviM
b1069,murJ
b1069,mviN
b1069,yceN
b1070,flgN
b1071,flgM
b1072,flgA
b1073,flgB
b1073,flaFII
b1073,flbA
b1074,flgC
b1074,flaFIII
b1074,flaW
b1075,flgD
b1075,flaFIV
b1075,flaV
b1076,flgE
b1076,flaFV
b1076,flaK
b1077,flgF
b1077,flaFVI
b1077,flaX
b1078,flgG
b1078,flaFVII
b1078,flaL
b1079,flgH
b1079,flaFVIII
b1079,flaY
b1080,flgI
b1080,flaFIX
b1080,flaM
b1081,flgJ
b1081,flaFX
b1081,flaZ
b1082,flgK
b1082,flaS
b1082,flaW
b1083,flgL
b1083,flaT
b1083,flaU
b1084,rne
b1084,ams
b1084,hmp1
b1085,yceQ
b1086,rluC
b1086,yceC
b1087,yceF
b1088,yceD
b1088,g30k
b1089,rpmF
b1090,plsX
b1091,fabH
b1092,fabD
b1092,tfpA
b1093,fabG
b1094,acpP
b1095,fabF
b1095,fabJ
b1096,pabC
b1097,mltG
b1097,yceG
b1098,tmk
b1098,ycfG
b1099,holB
b1100,ycfH
b1101,ptsG
b1101,glcA
b1101,umg
b1102,fhuE
b1103,hinT
b1103,ycfF
b1104,ycfL
