	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b0659	43	72	56	53	62	40	51	48	66
b0660	130	158	179	119	159	152	128	109	169
b0661	52	69	94	103	93	66	69	71	95
b0662	41	33	56	31	40	24	22	31	50
b0664	5	4	3	3	1	0	1	2	0
b0665	4	9	7	6	8	3	2	1	13
b0666	12	11	13	3	10	7	5	6	17
b0668	8	5	11	4	12	6	6	8	11
b0670	23	21	18	11	21	16	7	14	36
b0672	8	15	25	6	19	17	6	5	20
b0673	35	26	29	21	36	27	18	6	34
b0674	171	181	210	302	363	304	246	139	232
b0675	56	54	74	54	61	70	59	32	51
b0676	54	61	71	50	67	69	40	46	70
b0677	86	76	96	93	67	76	58	67	72
b0678	124	127	127	136	103	100	68	108	82
b0679	28	31	63	48	55	36	31	27	56
b0680	229	259	328	215	265	257	249	155	269
b0681	1	5	2	7	3	3	1	3	2
b0682	2	4	6	0	4	0	3	2	1
b0683	192	173	208	280	246	244	315	145	223
b0684	194	212	219	256	316	279	445	161	259
b0685	11	6	12	12	7	5	7	3	11
b0686	30	44	30	51	47	45	43	30	37
b0687	114	152	158	232	226	196	189	116	163
b0688	189	220	273	311	252	268	169	189	290
b0689	2	4	2	3	4	5	1	2	2
b0691	2	5	2	1	4	0	2	0	3
b0692	6	6	5	3	11	8	9	3	6
b0693	3	7	4	2	6	3	9	2	4
b0694	4	5	4	4	8	6	1	2	6
b0695	11	34	14	18	17	11	12	14	14
b0696	1	4	3	3	3	0	1	4	2
b0697	5	6	3	3	2	5	3	2	1
b0698	0	5	1	1	2	2	6	2	3
b0699	15	35	25	15	48	32	62	26	42
b0700	6	12	5	5	5	10	8	7	6
b0702	0	0	1	0	0	0	0	0	0
b0703	2	7	0	6	2	4	3	4	3
b0704	5	3	2	1	5	6	3	2	1
b0705	2	2	0	0	4	0	3	3	1
b0706	1	1	0	3	2	2	3	1	0
b0707	34	32	47	32	31	31	32	30	27
b0708	43	39	39	19	37	21	19	26	39
b0709	12	13	7	3	8	7	7	10	6
b0710	74	62	83	100	101	93	76	57	73
b0711	17	19	17	22	23	18	15	12	26
b0712	23	31	28	33	39	31	23	24	34
b0713	16	21	24	33	32	27	18	17	26
b0714	9	18	19	19	8	16	14	16	15
b0715	4	9	6	4	11	5	6	5	13
b0716	5	9	10	13	13	16	13	13	10
b0717	1	1	1	1	2	4	3	4	2
b0718	2	2	2	1	4	3	3	7	0
b0719	0	2	0	1	2	2	0	1	0
b0720	1265	933	1251	2077	1254	1402	1421	873	1029
b0721	28	8	42	44	28	17	25	13	37
b0722	13	8	22	8	16	11	12	3	17
b0723	84	39	97	59	65	42	40	31	105
b0724	29	22	31	20	33	21	13	9	40
b0726	264	205	399	338	268	239	197	164	330
b0727	94	65	183	105	71	96	56	58	112
b0728	161	133	278	185	186	142	107	103	205
b0729	171	136	235	145	159	122	88	93	192
b0730	9	9	11	8	18	8	19	5	14
b0731	0	5	2	2	0	2	7	1	0
b0732	9	12	10	19	11	15	25	12	15
b0733	43	74	98	92	112	118	120	53	104
b0734	43	70	62	68	84	84	67	49	65
b0735	2	9	10	15	13	7	15	5	7
b0736	38	34	37	69	51	57	69	41	52
b0737	41	45	39	76	67	60	53	25	59
b0738	40	19	19	26	24	21	27	12	28
b0739	80	63	72	75	75	60	66	54	63
b0740	522	515	623	636	766	580	587	414	643
b0741	758	825	822	1100	1324	950	1146	628	994
b0742	258	297	310	233	378	301	279	206	344
b0743	93	66	67	41	81	55	50	55	92
b0744	9	11	15	10	15	6	13	5	5
b0745	34	22	19	7	21	17	7	8	38
b0746	8	8	14	5	23	12	7	9	12
b0747	4	7	9	9	18	6	2	9	6
b0748	23	14	10	13	12	13	12	9	20
b0749	2	1	0	1	2	2	0	0	0
b0750	158	174	126	65	146	102	108	170	143
b0751	87	90	105	62	99	61	87	98	84
b0752	32	35	28	27	44	30	31	30	40
b0753	110	118	61	79	95	44	124	129	54
b0754	1068	889	1177	1507	1239	1252	1150	753	1217
b0755	2160	1775	1756	2362	2369	2047	2938	1573	2355
b0756	101	151	173	134	199	124	115	68	182
b0757	37	46	53	46	62	33	43	27	35
b0758	18	11	12	8	13	8	9	8	21
b0759	29	35	35	16	25	21	15	19	44
b0760	74	92	120	82	121	84	38	34	75
b0761	25	32	34	51	36	39	38	23	30
b0762	48	38	41	51	52	30	57	36	46
b0763	14	25	22	14	34	28	22	12	27
b0764	3	11	11	6	9	7	9	6	7
b0765	15	10	11	4	11	16	5	8	15
b0766	14	19	28	24	21	22	24	9	20
b0767	241	239	249	149	206	165	110	161	217
b0768	5	6	3	5	8	7	6	4	2
b0769	1	5	0	1	0	1	2	1	0
b0770	1	1	2	3	1	0	3	1	1
b0771	6	7	7	4	11	5	8	3	4
b0772	68	75	105	111	124	125	45	60	67
b0773	71	88	81	72	96	56	67	36	73
b0774	84	100	69	93	100	82	97	75	129
b0775	136	152	111	263	201	250	170	151	191
b0776	39	54	35	57	65	91	44	29	72
b0777	22	28	18	35	52	38	39	16	52
b0778	38	45	30	68	51	51	38	31	51
b0779	133	167	139	120	147	121	119	129	141
b0780	22	24	24	28	37	31	31	14	33
b0781	90	116	94	144	128	139	147	95	141
b0782	86	128	101	101	144	122	152	108	164
b0783	33	60	47	44	48	46	41	42	78
b0784	13	18	12	9	15	10	13	12	20
b0785	23	22	24	20	31	30	23	20	41
b0786	181	160	210	230	235	179	260	158	160
b0787	6	6	4	3	9	5	3	3	7
b0788	10	21	14	7	15	10	10	7	16
b0789	32	29	37	21	26	26	22	23	27
b0790	44	40	43	36	36	23	36	28	38
b0791	10	8	9	9	9	8	12	8	10
b0792	11	15	14	6	9	15	5	8	11
b0793	8	4	16	12	6	1	3	8	5
b0794	16	31	38	19	21	13	15	16	27
b0795	29	19	25	12	15	10	10	16	19
b0796	17	21	14	13	10	10	6	8	13
b0797	8	15	13	18	13	10	11	12	19
b0798	1	4	5	5	2	1	1	2	7
b0799	20	9	17	22	20	17	27	10	18
b0800	57	60	80	54	51	53	37	35	50
b0801	132	126	154	136	156	187	161	78	161
b0802	19	32	26	25	27	28	33	13	15
b0803	9	19	18	8	15	14	8	14	22
b0804	56	65	86	65	80	78	34	51	77
b0805	417	570	853	405	786	600	200	251	739
b0806	8	14	12	13	5	5	12	13	8
b0807	10	11	11	12	12	6	8	6	12
b0808	32	40	34	17	30	28	26	26	22
b0809	38	56	58	71	89	118	62	31	76
b0810	40	43	65	67	108	102	68	30	76
b0811	173	141	225	401	447	420	370	141	261
b0812	1842	2207	2039	2267	2553	1696	2627	1634	1719
b0813	2	3	3	4	6	8	5	3	3
b0814	4022	3399	2702	3599	3211	2825	3543	2703	2631
b0815	7	14	13	18	11	16	19	11	11
b0816	72	65	61	118	81	68	160	71	70
b0817	38	26	32	43	44	28	34	19	32
b0818	6	10	13	9	11	10	18	8	10
b0819	175	203	251	248	278	231	245	193	263
b0820	120	120	130	172	130	103	130	96	165
b0821	49	55	61	19	30	11	19	24	32
b0822	73	68	79	94	79	78	102	58	64
b0823	9	21	7	9	7	9	7	7	15
b0824	1	3	1	0	4	4	3	1	0
b0825	7	7	6	7	8	7	3	2	8
b0826	8	11	14	15	13	13	15	7	9
b0827	13	16	38	19	23	8	19	19	30
b0828	66	76	76	91	156	152	80	55	117
b0829	52	95	85	130	141	153	99	63	108
b0830	86	93	80	215	180	197	146	98	139
b0831	16	14	14	39	40	47	28	11	42
b0832	5	10	8	18	22	13	7	7	8
b0833	3	15	7	10	13	11	13	9	18
b0834	1	4	12	4	6	6	5	4	9
b0835	40	67	36	57	68	40	45	32	47
b0836	40	68	20	36	24	15	65	98	26
b0837	30	37	32	43	38	35	31	27	33
b0838	119	95	138	185	163	158	107	97	143
b0839	183	193	163	172	149	150	109	119	154
b0840	51	51	35	32	48	42	38	28	49
b0841	32	27	37	29	27	24	20	30	23
b0842	19	11	16	7	14	10	13	12	13
b0843	10	8	10	8	11	11	7	7	4
b0844	29	35	33	48	50	28	39	22	41
b0845	10	11	23	21	20	17	18	10	18
b0846	6	3	4	5	2	4	4	3	10
b0847	60	58	46	69	68	75	73	39	56
b0848	10	9	7	4	4	9	2	3	1
b0849	11	19	16	18	11	4	11	7	8
b0850	4	8	6	18	7	11	11	4	12
b0851	25	19	30	31	33	36	21	10	36
b0852	9	8	17	8	12	13	10	9	20
b0853	16	24	30	38	38	28	47	28	34
b0854	258	200	185	244	230	265	268	200	203
b0855	40	45	51	35	49	45	29	33	48
b0856	15	15	13	14	16	15	13	10	7
b0857	12	12	10	19	14	11	15	9	18
b0858	5	11	9	7	6	10	12	4	7
b0859	10	8	10	3	11	10	9	3	11
b0860	101	99	56	16	55	41	71	84	67
b0861	25	26	30	15	21	22	8	21	36
b0862	39	49	54	47	54	36	34	36	51
b0863	132	173	143	208	207	159	190	128	181
b0864	82	113	105	92	121	76	128	82	92
b0865	101	136	137	69	110	87	59	77	89
b0866	38	43	36	31	31	32	30	21	27
b0867	26	31	29	19	28	19	15	17	29
b0868	26	21	29	20	26	26	11	21	27
b0869	22	27	19	28	23	18	15	18	19
b0870	51	68	81	60	67	76	34	50	88
b0871	212	231	225	161	205	148	194	188	191
b0872	0	1	0	0	0	2	0	0	0
b0873	1	3	0	5	2	2	1	2	0
b0874	9	18	12	12	11	10	11	8	19
b0875	4	8	11	16	8	10	12	7	9
b0876	60	57	43	56	40	41	26	44	39
b0877	241	249	185	139	110	104	94	136	74
b0878	37	31	33	40	59	68	40	31	52
b0879	16	25	33	40	42	42	32	18	30
b0880	143	164	129	190	176	126	180	145	128
b0881	70	75	83	141	110	101	91	54	84
b0882	1432	1192	1373	2485	1603	1487	1468	990	1393
b0883	4	4	4	6	5	1	1	4	1
b0884	142	168	163	205	181	158	215	159	202
b0885	13	17	19	19	19	27	16	10	25
b0886	35	48	58	61	59	67	55	36	67
b0887	22	35	29	36	38	44	29	17	39
b0888	241	335	326	249	339	283	258	196	306
b0889	474	416	527	439	598	505	502	301	457
b0890	227	264	297	305	250	270	233	161	289
b0891	61	58	60	91	56	63	79	52	65
b0892	50	59	59	35	34	38	27	29	28
b0893	404	395	420	532	576	566	450	321	502
b0894	2	11	4	3	10	5	11	8	4
b0895	1	2	2	3	1	1	1	0	1
b0896	5	15	8	10	8	12	11	10	13
b0897	247	429	322	393	361	275	418	188	287
b0898	22	22	18	43	38	31	46	36	28
b0899	5	6	8	11	6	8	3	4	4
b0900	13	12	12	24	28	20	16	8	8
b0901	1	1	1	1	1	2	2	0	1
b0902	22	29	37	35	37	25	38	18	29
b0903	2623	2884	2886	3251	3482	2545	3152	2486	2613
b0904	146	145	140	150	176	131	163	122	131
b0905	58	97	105	79	97	87	72	47	95
b0906	22	26	31	31	29	25	45	19	28
b0907	1440	1383	1822	2616	1906	1971	1720	1071	1586
b0908	425	387	600	372	480	350	248	248	461
b0909	2	10	7	11	4	5	6	6	8
b0910	142	153	174	128	232	177	140	97	195
b0911	2931	2947	3805	2825	3426	2466	2743	2474	3330
b0912	662	590	550	1204	633	554	902	513	494
b0913	12	10	12	8	14	14	16	10	16
b0914	135	141	148	157	158	124	171	108	162
b0915	24	15	20	15	19	16	11	14	28
b0916	12	8	13	11	16	16	9	5	11
b0917	27	12	26	24	30	25	33	10	32
b0918	54	56	72	57	84	77	84	55	86
b0919	10	14	10	11	9	11	10	13	9
b0920	3	15	13	12	10	12	13	12	14
b0921	31	52	31	51	74	54	39	34	64
b0922	32	22	38	49	64	52	53	40	59
b0923	25	36	47	56	52	44	40	24	41
b0924	186	230	279	314	328	284	232	161	324
b0925	139	134	133	95	104	92	97	77	90
b0926	202	237	217	473	336	434	448	201	328
b0927	127	129	179	208	144	187	183	100	147
b0928	909	717	919	1266	1209	1012	670	609	781
b0929	3628	2800	3707	11971	9756	10662	8643	3280	5793
b0930	420	512	517	769	672	682	534	356	523
b0931	284	307	240	369	304	321	380	257	342
b0932	293	296	282	342	342	325	351	219	317
b0933	5	3	7	3	2	8	6	4	2
b0934	1	0	0	1	0	1	1	2	1
b0935	2	2	1	2	2	1	1	1	3
b0936	1	1	1	5	1	1	0	0	0
b0937	0	1	3	4	6	6	0	2	0
b0938	2	2	2	2	2	1	9	1	1
b0939	1	1	0	4	1	3	4	1	0
b0940	8	7	8	14	10	10	15	8	12
b0941	4	4	5	7	8	14	12	4	9
b0942	1	0	1	1	5	0	0	0	5
b0943	0	1	2	3	1	1	4	3	2
b0944	11	3	4	10	10	14	11	9	7
b0945	30	60	47	33	60	59	40	32	51
b0946	42	38	44	52	45	53	64	35	38
b0947	70	82	126	120	89	105	89	53	66
b0948	37	75	64	48	71	62	44	36	66
b0949	86	73	84	77	123	71	89	64	106
b0950	15	18	20	19	30	25	21	15	17
b0951	62	66	58	72	56	75	46	51	55
b0952	24	18	21	21	15	12	22	14	16
b0953	923	999	443	1581	811	713	1279	953	584
b0954	197	263	345	304	391	286	303	111	366
b0955	98	101	133	95	129	127	127	79	137
b0956	32	25	36	32	39	29	43	17	26
b0957	11743	9280	10105	10542	7965	9189	8246	7611	9696
b0958	27	32	29	35	37	38	36	16	40
b0959	15	12	23	21	23	31	21	13	14
b0960	26	33	35	39	51	46	28	25	42
b0961	16	21	24	11	15	13	15	13	17
b0962	108	103	105	101	85	103	78	62	96
b0963	88	92	86	104	140	119	80	63	92
b0964	30	31	21	59	26	19	25	40	17
b0965	72	71	75	68	80	52	47	58	59
b0966	47	62	47	51	50	48	53	47	56
b0967	45	65	47	57	69	53	52	54	49
b0968	13	11	9	15	13	15	12	9	13
b0969	12	16	17	20	22	18	29	13	24
b0970	226	233	330	478	382	379	547	190	294
b0971	2	1	0	2	6	4	0	2	2
b0972	2	4	3	0	0	1	2	3	0
b0973	1	2	0	1	1	3	1	4	1
b0974	0	2	0	0	0	1	2	1	1
b0975	2	2	1	0	2	0	5	0	2
b0976	1	2	1	0	1	0	1	0	0
b0977	2	4	2	1	5	0	1	1	1
b0978	18	15	10	9	8	6	6	15	6
b0979	5	10	12	5	7	9	5	8	8
b0980	14	26	14	16	17	13	14	16	14
b0981	25	31	30	35	43	36	28	24	35
b0982	4	5	7	4	7	3	0	3	3
b0983	3	15	6	6	8	7	7	3	3
b0984	5	10	7	12	13	7	10	6	9
b0985	1	5	1	3	5	1	3	1	3
b0986	0	1	4	1	4	2	2	1	2
b0987	0	2	0	2	4	1	3	3	1
b0988	28	46	39	48	52	37	45	34	47
b0989	0	0	0	2	0	0	2	1	0
b0990	6	4	2	9	6	4	3	3	5
b0991	2	3	0	3	1	1	4	0	1
b0992	1	4	2	5	5	6	4	6	5
b0993	12	11	8	7	10	9	7	13	8
b0994	3	9	7	4	6	2	5	1	1
b0995	9	18	9	16	11	16	12	7	11
b0996	1	0	1	3	1	1	2	2	1
b0997	1	8	5	13	7	6	8	3	6
b0998	2	1	5	6	4	3	3	3	4
b0999	21	20	20	16	13	13	8	6	13
b1000	85	87	97	40	45	31	43	43	42
b1001	4	4	0	1	4	1	4	7	4
b1002	121	105	125	67	105	48	67	80	88
b1003	190	189	152	153	152	106	162	171	139
b1004	643	676	599	479	604	388	469	451	416
b1006	4	10	3	7	3	6	6	1	3
b1007	0	1	1	0	1	0	0	0	0
b1008	0	1	0	0	0	0	0	1	2
b1009	0	1	1	0	1	0	0	1	1
b1010	0	1	1	0	1	0	0	1	1
b1011	3	0	2	1	3	0	0	1	1
b1012	0	5	1	1	1	1	1	1	1
b1013	4	7	11	12	18	10	7	8	15
b1014	11	14	20	15	21	17	22	8	13
b1015	12	17	26	40	35	44	41	19	37
b1018	211	232	258	218	282	288	126	141	261
b1019	95	93	121	90	115	110	49	71	117
b1020	450	259	232	330	191	176	228	309	162
b1021	14	11	15	18	11	6	12	10	8
b1022	1	5	1	5	7	4	3	5	3
b1023	4	4	5	2	3	5	1	0	3
b1024	10	15	14	8	16	14	22	10	12
b1025	12	8	12	10	8	5	10	11	7
b1026	6	6	6	4	4	4	7	3	5
b1027	2	4	3	5	1	3	2	7	3
b1028	0	1	0	0	0	0	0	0	0
b1029	4	1	1	0	0	4	3	4	3
b1032	3	1	0	3	2	0	0	6	3
b1033	77	99	116	98	158	123	124	55	123
b1034	78	97	102	126	141	121	149	73	156
b1035	51	55	59	68	76	71	62	35	74
b1036	14	14	15	9	19	14	14	9	10
b1037	70	103	100	114	110	101	78	77	91
b1038	22	57	48	55	62	59	57	35	39
b1039	35	63	49	77	82	54	64	53	40
b1040	122	174	135	323	249	238	329	198	172
b1041	2	3	2	11	4	2	5	3	2
b1042	10	12	13	29	26	19	13	8	2
b1043	3	2	1	2	1	3	4	1	0
b1044	0	2	3	4	4	1	6	4	5
b1045	33	37	29	25	19	21	21	29	28
b1046	36	33	28	29	35	25	33	30	29
b1047	18	13	15	15	14	8	19	8	6
b1048	223	268	327	295	325	293	334	219	301
b1049	127	129	157	143	108	140	122	78	153
b1050	147	291	203	193	115	120	122	141	110
b1051	281	473	342	335	224	195	231	207	182
b1053	4	4	3	4	3	4	4	3	5
b1054	17	10	30	15	20	20	15	11	22
b1055	131	195	180	324	173	189	164	146	131
b1056	59	67	60	110	135	90	67	60	66
b1057	16	22	12	32	28	34	18	15	25
b1058	0	0	0	0	1	0	1	0	0
b1059	81	94	112	204	140	194	99	52	115
b1060	18	19	20	24	22	17	18	15	15
b1061	19	17	19	11	16	15	20	13	11
b1062	195	329	224	160	198	215	156	193	200
b1063	27	41	44	51	60	50	55	32	51
b1064	328	299	339	253	291	233	283	201	264
b1065	5	4	4	5	7	9	2	6	5
b1066	88	68	66	104	104	96	84	55	86
b1067	62	54	66	63	59	86	44	41	51
b1068	39	48	32	48	34	26	24	29	37
b1069	12	10	18	28	24	22	23	5	17
b1070	4	3	9	4	5	6	5	3	6
b1071	6	4	8	6	13	2	13	1	3
b1072	4	4	3	4	3	7	7	3	6
b1073	0	1	1	0	2	1	2	0	2
b1074	0	2	2	0	0	0	2	2	1
b1075	1	2	2	2	5	5	3	0	6
b1076	1	5	3	1	8	12	12	4	6
b1077	0	0	2	0	2	1	7	2	1
b1078	4	2	3	3	3	5	0	2	3
b1079	0	2	3	3	4	1	0	2	3
b1080	0	2	3	2	3	3	1	1	3
b1081	0	6	1	0	3	2	5	0	2
b1082	6	9	10	9	8	15	11	11	15
b1083	15	15	14	13	21	15	25	10	16
b1084	224	254	333	195	264	223	184	180	318
b1085	67	66	62	79	56	69	78	53	66
b1086	31	42	35	48	67	54	36	20	51
b1087	96	102	101	107	126	104	124	59	85
b1088	754	730	887	678	1079	726	626	476	972
b1089	447	448	519	387	554	349	288	325	592
b1090	115	107	137	135	122	99	100	73	122
b1091	108	141	180	124	157	145	101	77	125
b1092	186	207	256	170	223	173	133	101	210
b1093	528	499	642	607	680	442	526	326	683
b1094	966	838	1232	1388	1491	1087	1530	761	1369
b1095	257	242	336	372	409	337	299	153	328
b1096	20	15	29	28	27	35	27	20	16
b1097	24	17	22	28	24	33	25	20	25
b1098	25	24	17	25	21	27	22	14	35
b1099	22	25	34	18	32	21	36	20	40
b1100	62	70	63	76	83	65	73	49	65
b1101	356	356	779	381	562	464	363	199	703
b1102	276	360	465	839	971	913	842	266	666
b1103	61	81	101	78	148	85	72	45	82
b1104	43	54	64	33	71	43	37	32	59
b1105	63	78	83	50	62	47	34	45	75
b1106	13	17	22	11	23	16	19	11	25
b1107	71	88	90	83	64	67	74	45	63
b1108	73	66	64	80	103	79	87	61	65
b1109	138	191	121	136	350	331	288	175	304
b1110	28	17	5	5	8	8	17	33	9
b1111	20	22	18	25	30	33	41	24	20
b1112	26	22	21	18	21	28	38	32	21
b1113	12	15	13	9	10	12	6	15	12
b1114	138	134	138	139	124	131	134	98	155
b1115	0	3	0	0	7	4	4	1	1
b1116	36	64	49	45	50	40	52	48	64
b1117	23	23	40	25	22	30	31	22	21
b1118	60	61	79	71	67	54	76	48	66
b1119	49	44	48	47	43	32	45	45	49
b1120	46	43	58	38	32	40	26	35	40
b1121	1	2	0	1	2	1	5	2	1
b1122	1	0	0	1	0	6	4	0	0
b1123	306	305	376	339	326	265	232	191	345
b1124	26	46	66	46	41	47	43	27	57
b1125	20	16	16	19	23	19	25	15	20
b1126	50	77	72	72	80	97	79	39	70
b1127	153	140	141	125	165	112	115	118	155
b1128	154	123	128	139	149	141	104	122	135
b1129	94	86	91	81	109	59	69	71	85
b1130	185	172	154	167	187	171	143	116	125
b1131	197	276	265	274	239	182	210	159	288
b1132	15	23	31	16	33	20	15	27	33
b1133	87	122	91	83	96	93	87	77	115
b1134	9	23	21	8	16	23	9	13	20
b1135	13	22	16	19	10	14	21	9	27
b1136	3300	2578	3641	2293	4090	2855	3221	2199	4138
b1137	3	1	0	1	5	2	4	3	4
b1138	3	4	1	1	3	2	6	1	1
b1139	12	8	9	6	21	16	20	12	12
b1140	6	9	5	1	3	3	8	6	5
b1141	1	2	3	3	6	7	2	2	0
b1143	54	58	48	63	75	78	94	35	56
b1144	27	23	24	26	37	26	44	12	26
b1145	17	25	26	46	40	21	37	13	35
b1146	2	1	1	3	11	5	4	1	6
b1147	4	8	3	7	0	3	2	5	4
b1148	1	1	2	0	0	2	1	1	0
b1150	0	1	0	0	1	0	1	1	0
b1151	0	0	0	1	0	0	0	0	0
b1152	2	1	1	3	1	1	3	1	0
b1153	0	0	0	0	0	0	2	0	0
b1154	1	3	0	0	0	2	0	2	0
b1155	0	3	1	3	1	2	2	4	2
b1156	2	2	3	3	3	4	6	1	4
b1157	1	2	1	0	3	2	4	0	0
b1158	0	2	0	0	0	0	2	2	0
b1159	8	14	11	18	21	16	14	8	10
b1160	0	2	1	0	1	0	0	0	0
b1161	1	1	1	0	1	0	4	1	1
b1162	73	43	64	77	73	94	106	49	94
b1163	74	52	59	140	54	83	94	41	49
b1164	4	4	10	5	7	8	10	5	6
b1165	3	5	3	1	5	1	6	2	3
b1166	0	5	2	1	6	0	2	1	0
b1167	1	6	2	2	6	0	2	4	1
b1168	8	13	9	11	13	9	16	8	9
b1171	7	8	9	5	7	7	3	6	8
b1172	8	5	6	6	1	6	6	2	2
b1174	80	84	81	106	91	71	100	57	81
b1175	372	426	413	493	434	406	428	341	441
b1176	150	162	196	164	151	173	141	155	174
b1177	28	25	29	34	26	24	49	25	23
b1178	387	545	460	429	57	59	79	344	28
b1179	44	40	43	60	69	65	64	19	51
b1180	80	80	85	137	124	113	115	66	84
b1181	19	32	22	30	39	33	27	17	33
b1182	3	9	8	5	4	1	7	6	5
b1183	5	7	4	9	4	6	9	2	2
b1184	7	8	1	4	7	13	6	5	6
b1185	23	25	23	57	38	50	44	22	36
b1186	32	45	60	61	64	73	59	23	59
b1187	50	50	67	58	54	56	73	41	77
b1188	337	284	250	284	251	189	283	240	171
b1189	43	38	24	99	127	153	109	74	103
b1190	22	14	15	44	41	64	46	15	42
b1191	31	31	27	37	40	44	36	35	44
b1192	39	36	44	52	36	44	45	33	35
b1193	37	47	46	41	38	39	28	29	29
b1194	7	13	13	12	8	13	6	7	11
b1195	16	11	9	7	10	3	11	11	9
b1196	5	2	0	5	4	2	4	2	3
b1197	92	107	117	70	58	54	45	88	42
b1198	67	67	86	63	69	61	54	54	58
b1199	33	34	39	34	37	30	31	19	40
b1200	56	59	82	61	43	52	47	27	59
b1201	9	21	17	13	23	19	22	19	23
b1202	16	21	12	28	11	13	21	11	11
b1203	91	101	145	100	151	103	126	48	139
b1204	27	34	22	37	44	36	37	22	38
b1205	23	17	23	20	14	14	19	6	16
b1206	8	10	10	9	11	17	7	10	13
b1207	161	180	231	173	241	149	154	116	238
b1208	84	85	100	70	102	65	64	47	95
b1209	80	78	68	50	90	49	47	58	66
b1210	38	33	45	40	52	50	43	21	61
b1211	21	30	54	29	45	34	23	20	32
b1212	10	6	14	12	10	8	5	6	16
b1213	13	23	15	19	23	17	24	10	29
b1214	80	93	104	120	103	95	142	71	111
b1215	191	190	230	245	230	214	229	145	211
b1216	40	55	51	103	94	79	107	29	63
b1217	46	48	29	37	34	35	43	41	25
b1218	48	53	57	61	79	58	54	47	44
b1219	28	44	46	57	67	61	58	25	34
b1220	34	44	28	29	53	36	31	31	27
b1221	38	39	56	32	56	46	34	18	44
b1222	30	39	33	30	47	43	29	30	53
b1223	5	10	5	6	5	7	6	4	4
b1224	10	17	10	9	14	6	12	10	4
b1225	2	4	7	4	4	9	2	8	6
b1226	4	4	4	3	1	3	0	0	2
b1227	2	2	5	4	5	2	2	0	1
b1229	0	0	0	0	0	0	0	0	0
b1230	3	3	2	2	1	4	6	3	4
b1231	3	9	4	7	16	4	5	5	9
b1232	149	185	239	305	246	242	311	134	222
b1233	57	62	65	118	111	116	146	70	83
b1234	85	84	98	93	115	101	102	61	111
b1235	93	113	82	95	134	105	118	98	92
b1236	314	353	417	377	404	294	394	223	383
b1237	1432	1468	1411	1553	1891	1496	1898	938	1532
b1238	25	34	33	37	55	42	58	22	26
b1241	2294	2489	2766	3564	2388	2039	2261	1982	1989
b1242	2	9	3	9	14	13	17	6	14
b1243	511	483	874	816	1661	1618	2149	375	1367
b1244	27	26	44	38	88	92	113	20	77
b1245	17	24	28	29	59	43	62	11	48
b1246	30	46	57	38	91	75	89	28	94
b1247	21	37	34	38	59	66	54	27	66
b1248	39	31	28	50	30	41	40	28	27
b1249	115	119	122	175	120	144	105	85	119
b1250	54	42	40	33	33	43	44	33	32
b1251	124	121	138	351	195	213	267	100	131
b1252	178	174	189	186	240	179	201	141	221
b1253	16	18	16	23	24	28	36	16	21
b1254	21	34	24	58	44	40	52	20	39
b1255	32	27	49	61	52	41	79	30	41
b1256	2	6	3	3	4	2	4	3	2
b1257	35	63	35	23	32	29	51	26	37
b1258	31	68	45	23	34	24	44	34	33
b1259	67	89	52	66	48	51	96	70	46
b1260	202	218	203	1157	645	891	681	506	533
b1261	259	326	316	1562	807	1326	923	676	798
b1262	154	217	238	1345	576	1084	748	435	449
b1263	117	164	159	1059	533	967	607	346	415
b1264	191	277	233	2026	852	1710	1244	680	694
b1265	25	28	17	224	91	146	175	75	49
b1266	43	44	31	47	49	37	47	34	42
b1267	66	69	67	62	76	51	78	52	58
b1268	16	16	8	22	19	12	24	13	13
b1269	32	35	33	35	53	41	35	17	50
b1270	12	14	22	33	30	24	19	14	17
b1271	24	34	39	46	42	39	36	31	30
b1272	97	103	118	135	103	92	131	78	134
b1273	27	25	24	47	35	33	66	32	40
b1274	331	393	380	511	484	388	307	279	333
b1275	52	90	107	149	166	164	147	69	120
b1276	212	214	211	126	152	114	107	152	142
b1277	52	64	58	53	69	69	98	58	69
b1278	25	15	23	40	37	26	43	26	30
b1279	25	16	27	27	36	25	45	17	20
b1280	43	47	45	52	50	52	50	32	40
b1281	33	54	49	50	43	52	38	36	38
b1282	6	19	9	15	5	7	9	10	9
b1283	110	149	75	53	55	48	106	164	33
b1284	32	36	45	137	128	158	146	28	93
b1285	97	138	91	84	109	73	89	57	78
b1286	204	332	288	216	345	249	238	222	314
b1287	25	45	34	45	67	77	63	77	75
b1288	363	410	488	273	447	303	376	262	505
b1289	3	0	1	3	0	2	4	4	0
b1290	19	24	17	25	26	21	25	15	26
b1291	43	42	34	31	41	34	25	28	30
b1292	9	8	14	14	8	8	6	7	8
b1293	10	13	16	22	10	8	15	10	14
b1294	36	27	41	24	35	26	27	23	36
b1295	7	8	10	23	15	15	22	6	13
b1296	14	14	12	20	12	13	14	9	15
b1297	39	28	28	73	35	53	21	24	37
b1298	22	18	33	34	27	23	16	13	22
b1299	16	13	11	20	17	13	12	9	17
b1300	8	0	4	7	7	8	4	5	3
b1301	2	3	2	5	2	4	3	0	5
b1302	4	2	4	5	4	3	1	0	4
b1303	11	18	11	15	11	16	12	7	11
b1304	29	61	38	53	60	49	64	51	38
b1305	7	10	9	12	13	10	14	2	6
b1306	13	9	14	11	18	18	19	6	13
